Time,w1,w2,w3,w4,w5,w6,Unnamed: 7,Unnamed: 8
t1,170.7418,184.2776,186.222,178.4568,168.2442,179.6832,1067.6256,2567.6256000000003
t2,167.6602,182.5956,186.60000000000002,180.0792,170.8332,180.31539999999998,1068.0836000000002,2568.0836
t3,162.056,180.2328,185.74779999999998,179.5802,171.0916,179.3372,1058.0456,2558.0456
t4,154.2246,176.5164,184.84179999999998,179.9874,172.7354,178.529,1046.8346,2546.8346
t5,149.0736,171.68460000000002,183.215,180.2192,174.061,177.21620000000001,1035.4696000000001,2535.4696000000004
t6,144.3468,163.978,180.6118,179.7864,174.49460000000002,174.6158,1017.8334,2517.8334
t7,138.1248,158.01639999999998,176.9856,177.82899999999998,172.3028,171.1846,994.4431999999999,2494.4431999999997
t8,133.14159999999998,155.7284,171.965,173.35739999999998,163.45860000000002,166.279,963.9300000000001,2463.9300000000003
t9,132.887,153.1096,167.3308,167.69559999999998,143.76839999999999,159.0846,923.8760000000001,2423.876
t10,131.1324,147.3674,161.394,155.6998,116.4876,147.3892,859.4704,2359.4704
t11,134.674,142.14180000000002,154.0412,143.208,88.6904,135.31640000000002,798.0718,2298.0718
t12,130.71980000000002,141.147,149.4134,124.0094,60.303200000000004,122.53179999999999,728.1246000000001,2228.1246
t13,103.40199999999999,140.295,145.4288,94.14099999999999,32.936,106.31580000000001,622.5186,2122.5186
t14,81.03399999999999,143.10739999999998,142.7194,73.85119999999999,39.6926,97.02619999999999,577.4308,2077.4308
t15,53.302400000000006,144.85760000000002,141.52800000000002,52.739599999999996,33.693,88.837,514.9576000000001,2014.9576000000002
t16,34.8096,134.5208,141.76,34.1802,46.7776,78.9324,470.9806,1970.9805999999999
t17,30.381000000000004,117.94500000000001,129.4564,38.4704,41.793400000000005,66.03280000000001,424.07900000000006,1924.0790000000002
t18,38.815,108.6094,97.9978,30.0012,40.9424,53.514399999999995,369.88019999999995,1869.8802
t19,48.0372,110.04719999999999,57.2938,48.7772,44.588,44.4634,353.2068,1853.2068
t20,55.1116,113.2934,30.485,31.568800000000003,34.2826,41.56,306.3014,1806.3014
t21,64.2296,121.29939999999999,39.434999999999995,33.196999999999996,24.8978,43.4352,326.494,1826.4940000000001
t22,80.58999999999999,134.4686,20.3252,33.647,28.3578,47.8534,345.242,1845.242
t23,99.4966,151.8408,33.1758,35.6838,26.63,55.7496,402.5766,1902.5765999999999
t24,119.7036,162.72480000000002,58.3484,24.5812,26.246399999999998,67.5392,459.1436,1959.1435999999999
,,,,,,,,
https://www.renewables.ninja/,,,"DK 5, SW1",,,,,
,,,,,,,,
Time,w1,w2,w3,w4,w5,w6,,Capacity
t1,0.853709,0.921388,0.93111,0.892284,0.841221,0.898416,,200
t2,0.838301,0.912978,0.933,0.900396,0.854166,0.901577,,
t3,0.81028,0.901164,0.928739,0.897901,0.855458,0.896686,,
t4,0.771123,0.882582,0.924209,0.899937,0.863677,0.892645,,
t5,0.745368,0.858423,0.916075,0.901096,0.870305,0.886081,,
t6,0.721734,0.81989,0.903059,0.898932,0.872473,0.873079,,
t7,0.690624,0.790082,0.884928,0.889145,0.861514,0.855923,,
t8,0.665708,0.778642,0.859825,0.866787,0.817293,0.831395,,
t9,0.664435,0.765548,0.836654,0.838478,0.718842,0.795423,,
t10,0.655662,0.736837,0.80697,0.778499,0.582438,0.736946,,
t11,0.67337,0.710709,0.770206,0.71604,0.443452,0.676582,,
t12,0.653599,0.705735,0.747067,0.620047,0.301516,0.612659,,
t13,0.51701,0.701475,0.727144,0.470705,0.16468,0.531579,,
t14,0.40517,0.715537,0.713597,0.369256,0.198463,0.485131,,
t15,0.266512,0.724288,0.70764,0.263698,0.168465,0.444185,,
t16,0.174048,0.672604,0.7088,0.170901,0.233888,0.394662,,
t17,0.151905,0.589725,0.647282,0.192352,0.208967,0.330164,,
t18,0.194075,0.543047,0.489989,0.150006,0.204712,0.267572,,
t19,0.240186,0.550236,0.286469,0.243886,0.22294,0.222317,,
t20,0.275558,0.566467,0.152425,0.157844,0.171413,0.2078,,
t21,0.321148,0.606497,0.197175,0.165985,0.124489,0.217176,,
t22,0.40295,0.672343,0.101626,0.168235,0.141789,0.239267,,
t23,0.497483,0.759204,0.165879,0.178419,0.13315,0.278748,,
t24,0.598518,0.813624,0.291742,0.122906,0.131232,0.337696,,
,,,,,,,,
,,,,,,,,
hour,total_load,,,,,,,
t1,1775.8349999999996,,,,,,,
t2,1669.815,,,,,,,
t3,1590.2999999999997,,,,,,,
t4,1563.7949999999998,,,,,,,
t5,1563.7949999999998,,,,,,,
t6,1590.2999999999997,,,,,,,
t7,1961.37,,,,,,,
t8,2279.43,,,,,,,
t9,2417.975,,,,,,,
t10,2544.48,,,,,,,
t11,2544.48,,,,,,,
t12,2517.975,,,,,,,
t13,2517.975,,,,,,,
t14,2517.975,,,,,,,
t15,2464.9649999999997,,,,,,,
t16,2464.9649999999997,,,,,,,
t17,2623.9949999999994,,,,,,,
t18,2650.4999999999995,,,,,,,
t19,2650.4999999999995,,,,,,,
t20,2544.48,,,,,,,
t21,2411.955,,,,,,,
t22,2199.9149999999995,,,,,,,
t23,1934.8649999999998,,,,,,,
t24,1669.815,,,,,,,
