gen_id,pmax,pmin,Rplus,Rup,UT,DT,C,Cu,Cd,Cplus,Cminus,C_SU,Pinit,Uinit,Tinit
g1,152,0,40,120,8,4,13.32,15,14,15,11,1430.4,76,1,22
g2,152,0,40,120,8,4,13.32,15,14,15,11,1430.4,76,1,22
g3,350,0,70,350,8,8,20.7,10,9,24,16,1725.0,0,1,-2
g4,591,0,180,240,12,10,20.93,8,7,25,17,3056.7,0,1,-1
g5,60,0,60,60,4,2,26.11,7,5,28,23,437.0,0,1,-1
g6,155,0,30,155,8,8,10.52,16,14,16,7,312.0,0,1,-2
g7,155,0,30,155,8,8,10.52,16,14,16,7,312.0,124,1,10
g8,400,0,0,280,1,1,6.02,0,0,0,0,0.0,240,1,50
g9,400,0,0,280,1,1,5.47,0,0,0,0,0.0,240,1,16
g10,300,0,0,300,0,0,0.0,0,0,0,0,0.0,240,1,24
g11,310,0,60,180,8,8,10.52,17,16,14,8,624.0,248,1,10
g12,350,0,40,240,8,8,10.89,16,14,16,8,2298.0,280,1,50
