line_id,reactance_pu,capacity,base_voltage,reactance
l1,0.0146,175,138,2.780424
l2,0.2253,175,138,42.906132
l3,0.0907,175,138,17.272908
l4,0.1356,175,138,25.823663999999997
l5,0.205,175,138,39.0402
l6,0.1271,175,138,24.204923999999995
l7,0.084,400,230,44.43600000000001
l8,0.111,175,138,21.138840000000002
l9,0.094,175,138,17.90136
l10,0.0642,175,138,12.226247999999998
l11,0.0652,175,138,12.416687999999999
l12,0.1762,175,138,33.555528
l13,0.1762,175,138,33.555528
l14,0.084,400,230,44.43600000000001
l15,0.084,400,230,44.43600000000001
l16,0.084,400,230,44.43600000000001
l17,0.084,400,230,44.43600000000001
l18,0.0488,500,230,25.8152
l19,0.0426,500,230,22.5354
l20,0.0488,500,230,25.8152
l21,0.0985,500,230,52.106500000000004
l22,0.0884,250,230,46.763600000000004
l23,0.0594,250,230,31.422600000000003
l24,0.0172,500,230,9.0988
l25,0.0249,400,230,13.172099999999999
l26,0.0529,500,230,27.9841
l27,0.0263,500,230,13.9127
l28,0.0234,500,230,12.3786
l29,0.0143,500,230,7.5647
l30,0.1036,500,230,54.804399999999994
l31,0.0132,1000,230,6.9828
l32,0.0203,1000,230,10.7387
l33,0.0112,1000,230,5.9248
l34,0.0692,500,230,36.6068
