line_id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24
l1,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
l2,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,
l3,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,
l4,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,
l5,,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,
l6,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,,
l7,,,1.0,,,,,,,,,,,,,,,,,,,,,-1.0
l8,,,,1.0,,,,,-1.0,,,,,,,,,,,,,,,
l9,,,,,1.0,,,,,-1.0,,,,,,,,,,,,,,
l10,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,
l11,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,
l12,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,
l13,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,
l14,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,
l15,,,,,,,,,1.0,,,-1.0,,,,,,,,,,,,
l16,,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,
l17,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,
l18,,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,
l19,,,,,,,,,,,1.0,,,-1.0,,,,,,,,,,
l20,,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,
l21,,,,,,,,,,,,1.0,,,,,,,,,,,-1.0,
l22,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,
l23,,,,,,,,,,,,,,1.0,,-1.0,,,,,,,,
l24,,,,,,,,,,,,,,,1.0,-1.0,,,,,,,,
l25,,,,,,,,,,,,,,,1.0,,,,,,-1.0,,,
l26,,,,,,,,,,,,,,,1.0,,,,,,,,,-1.0
l27,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,,
l28,,,,,,,,,,,,,,,,1.0,,,-1.0,,,,,
l29,,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,
l30,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,
l31,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,
l32,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,
l33,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,
l34,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,
