load_id,pmax,C,%
b1,108,98.4,3.7894736842105265
b2,97,92.15,3.4035087719298245
b3,180,86.3,6.315789473684211
b4,74,80.5,2.5964912280701755
b5,71,74.8,2.4912280701754383
b6,136,69.2,4.771929824561403
b7,125,63.75,4.385964912280701
b8,171,58.4,6.0
b9,175,53.1,6.140350877192982
b10,195,47.95,6.842105263157896
b13,265,42.8,9.298245614035087
b14,194,37.75,6.807017543859649
b15,317,32.8,11.12280701754386
b16,100,27.9,3.508771929824561
b18,333,23.15,11.68421052631579
b19,181,18.5,6.3508771929824555
b20,128,13.32,4.491228070175438
b21,0,13.32,0.0
