gen,hour,Pgen
g1,1,0.0
g1,2,0.0
g1,3,0.0
g1,4,0.0
g1,5,0.0
g1,6,0.0
g1,7,0.0
g1,8,0.0
g1,9,0.0
g1,10,0.0
g1,11,0.0
g1,12,0.0
g1,13,0.0
g1,14,0.0
g1,15,0.0
g1,16,0.0
g1,17,0.0
g1,18,0.0
g1,19,0.0
g1,20,0.0
g1,21,0.0
g1,22,0.0
g1,23,0.0
g1,24,0.0
g2,1,0.0
g2,2,0.0
g2,3,0.0
g2,4,0.0
g2,5,0.0
g2,6,0.0
g2,7,0.0
g2,8,0.0
g2,9,0.0
g2,10,0.0
g2,11,0.0
g2,12,0.0
g2,13,0.0
g2,14,0.0
g2,15,0.0
g2,16,0.0
g2,17,0.0
g2,18,0.0
g2,19,0.0
g2,20,0.0
g2,21,0.0
g2,22,0.0
g2,23,0.0
g2,24,0.0
g3,1,0.0
g3,2,0.0
g3,3,0.0
g3,4,0.0
g3,5,0.0
g3,6,0.0
g3,7,0.0
g3,8,0.0
g3,9,0.0
g3,10,0.0
g3,11,0.0
g3,12,0.0
g3,13,0.0
g3,14,0.0
g3,15,0.0
g3,16,0.0
g3,17,0.0
g3,18,0.0
g3,19,0.0
g3,20,0.0
g3,21,0.0
g3,22,0.0
g3,23,0.0
g3,24,0.0
g4,1,0.0
g4,2,0.0
g4,3,0.0
g4,4,0.0
g4,5,0.0
g4,6,0.0
g4,7,0.0
g4,8,0.0
g4,9,0.0
g4,10,0.0
g4,11,0.0
g4,12,0.0
g4,13,0.0
g4,14,0.0
g4,15,0.0
g4,16,0.0
g4,17,0.0
g4,18,0.0
g4,19,0.0
g4,20,0.0
g4,21,0.0
g4,22,0.0
g4,23,0.0
g4,24,0.0
g5,1,0.0
g5,2,0.0
g5,3,0.0
g5,4,0.0
g5,5,0.0
g5,6,0.0
g5,7,0.0
g5,8,0.0
g5,9,0.0
g5,10,0.0
g5,11,0.0
g5,12,0.0
g5,13,0.0
g5,14,0.0
g5,15,0.0
g5,16,0.0
g5,17,0.0
g5,18,0.0
g5,19,0.0
g5,20,0.0
g5,21,0.0
g5,22,0.0
g5,23,0.0
g5,24,0.0
g6,1,0.0
g6,2,0.0
g6,3,0.0
g6,4,0.0
g6,5,0.0
g6,6,0.0
g6,7,0.0
g6,8,0.0
g6,9,84.09900000000039
g6,10,155.0
g6,11,155.0
g6,12,155.0
g6,13,155.0
g6,14,155.0
g6,15,155.0
g6,16,155.0
g6,17,155.0
g6,18,155.0
g6,19,155.0
g6,20,155.0
g6,21,155.0
g6,22,155.0
g6,23,0.0
g6,24,110.67139999999995
g7,1,0.0
g7,2,0.0
g7,3,0.0
g7,4,0.0
g7,5,0.0
g7,6,0.0
g7,7,0.0
g7,8,0.0
g7,9,0.0
g7,10,155.0
g7,11,155.0
g7,12,155.0
g7,13,155.0
g7,14,155.0
g7,15,155.0
g7,16,155.0
g7,17,155.0
g7,18,155.0
g7,19,155.0
g7,20,155.0
g7,21,155.0
g7,22,155.0
g7,23,122.28839999999968
g7,24,0.0
g8,1,8.209400000000528
g8,2,0.0
g8,3,400.0
g8,4,0.0
g8,5,56.55747710843383
g8,6,0.0
g8,7,266.92679999999996
g8,8,400.0
g8,9,400.0
g8,10,400.0
g8,11,400.0
g8,12,400.0
g8,13,400.0
g8,14,400.0
g8,15,400.0
g8,16,400.0
g8,17,400.0
g8,18,400.0
g8,19,400.0
g8,20,400.0
g8,21,400.0
g8,22,400.0
g8,23,400.0
g8,24,400.0
g9,1,400.0
g9,2,400.0
g9,3,400.0
g9,4,400.0
g9,5,400.0
g9,6,400.0
g9,7,400.0
g9,8,400.0
g9,9,400.0
g9,10,400.0
g9,11,400.0
g9,12,400.0
g9,13,400.0
g9,14,400.0
g9,15,400.0
g9,16,400.0
g9,17,400.0
g9,18,400.0
g9,19,400.0
g9,20,400.0
g9,21,400.0
g9,22,400.0
g9,23,400.0
g9,24,400.0
g10,1,300.0
g10,2,300.0
g10,3,300.0
g10,4,300.0
g10,5,300.0
g10,6,300.0
g10,7,300.0
g10,8,300.0
g10,9,300.0
g10,10,300.0
g10,11,300.0
g10,12,300.0
g10,13,300.0
g10,14,300.0
g10,15,300.0
g10,16,300.0
g10,17,300.0
g10,18,300.0
g10,19,300.0
g10,20,300.0
g10,21,300.0
g10,22,300.0
g10,23,300.0
g10,24,300.0
g11,1,0.0
g11,2,0.0
g11,3,0.0
g11,4,0.0
g11,5,0.0
g11,6,0.0
g11,7,0.0
g11,8,215.49999999999977
g11,9,310.0
g11,10,275.0096000000001
g11,11,310.0
g11,12,310.0
g11,13,310.0
g11,14,310.0
g11,15,310.0
g11,16,310.0
g11,17,310.0
g11,18,310.0
g11,19,310.0
g11,20,310.0
g11,21,310.0
g11,22,310.0
g11,23,310.0
g11,24,0.0
g12,1,0.0
g12,2,0.0
g12,3,0.0
g12,4,0.0
g12,5,0.0
g12,6,0.0
g12,7,0.0
g12,8,0.0
g12,9,0.0
g12,10,0.0
g12,11,26.408199999999624
g12,12,69.85040000000049
g12,13,76.92499999999933
g12,14,220.54420000000073
g12,15,230.0074000000002
g12,16,273.98440000000005
g12,17,350.0
g12,18,350.0
g12,19,350.0
g12,20,350.0
g12,21,350.0
g12,22,134.67300000000023
g12,23,0.0
g12,24,0.0
