wind,hour,profit
w1,1,1027.865636
w1,2,1009.3144039999999
w1,3,975.5771199999998
w1,4,928.4320919999999
w1,5,897.4230719999999
w1,6,868.9677359999998
w1,7,831.5112959999999
w1,8,1400.6496319999997
w1,9,1397.9712399999999
w1,10,1379.5128479999998
w1,11,1466.59986
w1,12,1423.5386220000003
w1,13,1126.04778
w1,14,882.46026
w1,15,580.4631360000001
w1,16,379.07654400000007
w1,17,330.84909000000005
w1,18,422.69535
w1,19,523.1251080000001
w1,20,600.165324
w1,21,699.4603440000001
w1,22,877.6251
w1,23,1046.704232
w1,24,1259.2818719999998
w2,1,1109.351152
w2,2,1099.2255119999998
w2,3,1085.0014559999997
w2,4,1062.6287279999997
w2,5,1033.541292
w2,6,987.1475599999999
w2,7,951.2587279999998
w2,8,1638.2627679999998
w2,9,1610.712992
w2,10,1550.305048
w2,11,1547.9242020000004
w2,12,1537.09083
w2,13,1527.8125499999999
w2,14,1558.439586
w2,15,1577.4992640000003
w2,16,1464.931512
w2,17,1284.42105
w2,18,1182.756366
w2,19,1198.4140080000002
w2,20,1233.7651260000002
w2,21,1320.9504660000002
w2,22,1464.3630540000001
w2,23,1597.365216
w2,24,1711.864896
w3,1,1121.05644
w3,2,1123.3319999999997
w3,3,1118.201756
w3,4,1112.7476359999998
w3,5,1102.9542999999999
w3,6,1087.2830359999996
w3,7,1065.4533119999999
w3,8,1809.0718
w3,9,1760.3200160000001
w3,10,1697.86488
w3,11,1677.5086680000002
w3,12,1627.111926
w3,13,1583.719632
w3,14,1554.2142660000002
w3,15,1541.2399200000002
w3,16,1543.7664
w3,17,1409.7801960000002
w3,18,1067.196042
w3,19,623.929482
w3,20,331.98165
w3,21,429.44715
w3,22,221.341428
w3,23,349.009416
w3,24,613.825168
w4,1,1074.3099359999999
w4,2,1084.0767839999996
w4,3,1081.0728039999997
w4,4,1083.5241479999997
w4,5,1084.919584
w4,6,1082.3141279999998
w4,7,1070.5305799999999
w4,8,1823.7198479999997
w4,9,1764.1577119999997
w4,10,1637.961896
w4,11,1559.53512
w4,12,1350.462366
w4,13,1025.19549
w4,14,804.239568
w4,15,574.334244
w4,16,372.222378
w4,17,418.942656
w4,18,326.713068
w4,19,531.183708
w4,20,343.78423200000003
w4,21,361.51533000000006
w4,22,366.41583
w4,23,375.39357599999994
w4,24,258.594224
w5,1,1012.8300839999999
w5,2,1028.4158639999998
w5,3,1029.9714319999998
w5,4,1039.8671079999997
w5,5,1047.8472199999999
w5,6,1050.457492
w5,7,1037.2628559999998
w5,8,1719.5844720000002
w5,9,1512.4435680000001
w5,10,1225.449552
w5,11,965.8384560000001
w5,12,656.701848
w5,13,358.67304
w5,14,432.252414
w5,15,366.91677
w5,16,509.408064
w5,17,455.1301260000001
w5,18,445.86273600000004
w5,19,485.56332000000003
w5,20,373.33751400000006
w5,21,271.137042
w5,22,308.81644200000005
w5,23,280.14759999999995
w5,24,276.112128
w6,1,1081.6928639999999
w6,2,1085.4987079999999
w6,3,1079.6099439999998
w6,4,1074.7445799999998
w6,5,1066.841524
w6,6,1051.1871159999998
w6,7,1030.531292
w6,8,1749.25508
w6,9,1673.569992
w6,10,1550.5343839999998
w6,11,1473.5955960000003
w6,12,1334.371302
w6,13,1157.779062
w6,14,1056.6153180000001
w6,15,967.4349300000001
w6,16,859.573836
w6,17,719.0971920000002
w6,18,582.7718160000001
w6,19,484.206426
w6,20,452.58840000000004
w6,21,473.00932800000004
w6,22,521.1235260000001
w6,23,586.485792
w6,24,710.5123839999999
