gen,hour,profit
g1,1,0.0
g1,2,0.0
g1,3,0.0
g1,4,0.0
g1,5,0.0
g1,6,0.0
g1,7,0.0
g1,8,0.0
g1,9,0.0
g1,10,0.0
g1,11,0.0
g1,12,0.0
g1,13,0.0
g1,14,0.0
g1,15,0.0
g1,16,0.0
g1,17,0.0
g1,18,0.0
g1,19,0.0
g1,20,0.0
g1,21,0.0
g1,22,0.0
g1,23,0.0
g1,24,0.0
g2,1,0.0
g2,2,0.0
g2,3,0.0
g2,4,0.0
g2,5,0.0
g2,6,0.0
g2,7,0.0
g2,8,0.0
g2,9,0.0
g2,10,0.0
g2,11,0.0
g2,12,0.0
g2,13,0.0
g2,14,0.0
g2,15,0.0
g2,16,0.0
g2,17,0.0
g2,18,0.0
g2,19,0.0
g2,20,0.0
g2,21,0.0
g2,22,0.0
g2,23,0.0
g2,24,0.0
g3,1,0.0
g3,2,0.0
g3,3,0.0
g3,4,0.0
g3,5,0.0
g3,6,0.0
g3,7,0.0
g3,8,0.0
g3,9,0.0
g3,10,0.0
g3,11,0.0
g3,12,0.0
g3,13,0.0
g3,14,0.0
g3,15,0.0
g3,16,0.0
g3,17,0.0
g3,18,0.0
g3,19,0.0
g3,20,0.0
g3,21,0.0
g3,22,0.0
g3,23,0.0
g3,24,0.0
g4,1,0.0
g4,2,0.0
g4,3,0.0
g4,4,0.0
g4,5,0.0
g4,6,0.0
g4,7,0.0
g4,8,0.0
g4,9,0.0
g4,10,0.0
g4,11,0.0
g4,12,0.0
g4,13,0.0
g4,14,0.0
g4,15,0.0
g4,16,0.0
g4,17,0.0
g4,18,0.0
g4,19,0.0
g4,20,0.0
g4,21,0.0
g4,22,0.0
g4,23,0.0
g4,24,0.0
g5,1,0.0
g5,2,0.0
g5,3,0.0
g5,4,0.0
g5,5,0.0
g5,6,0.0
g5,7,0.0
g5,8,0.0
g5,9,0.0
g5,10,0.0
g5,11,0.0
g5,12,0.0
g5,13,0.0
g5,14,0.0
g5,15,0.0
g5,16,0.0
g5,17,0.0
g5,18,0.0
g5,19,0.0
g5,20,0.0
g5,21,0.0
g5,22,0.0
g5,23,0.0
g5,24,0.0
g6,1,0.0
g6,2,0.0
g6,3,0.0
g6,4,0.0
g6,5,0.0
g6,6,0.0
g6,7,0.0
g6,8,0.0
g6,9,0.0
g6,10,-0.0
g6,11,57.35000000000015
g6,12,57.35000000000015
g6,13,57.35000000000015
g6,14,57.35000000000015
g6,15,57.35000000000015
g6,16,57.35000000000015
g6,17,57.35000000000015
g6,18,57.35000000000015
g6,19,57.35000000000015
g6,20,57.35000000000015
g6,21,57.35000000000015
g6,22,57.35000000000015
g6,23,0.0
g6,24,0.0
g7,1,0.0
g7,2,0.0
g7,3,0.0
g7,4,0.0
g7,5,0.0
g7,6,0.0
g7,7,0.0
g7,8,0.0
g7,9,0.0
g7,10,-0.0
g7,11,57.35000000000015
g7,12,57.35000000000015
g7,13,57.35000000000015
g7,14,57.35000000000015
g7,15,57.35000000000015
g7,16,57.35000000000015
g7,17,57.35000000000015
g7,18,57.35000000000015
g7,19,57.35000000000015
g7,20,57.35000000000015
g7,21,57.35000000000015
g7,22,57.35000000000015
g7,23,0.0
g7,24,0.0
g8,1,665.1580000000002
g8,2,665.1580000000002
g8,3,665.1580000000002
g8,4,665.1580000000002
g8,5,665.1580000000002
g8,6,665.1580000000002
g8,7,665.1580000000002
g8,8,1800.0
g8,9,1800.0
g8,10,1800.0
g8,11,1948.0000000000005
g8,12,1948.0000000000005
g8,13,1948.0000000000005
g8,14,1948.0000000000005
g8,15,1948.0000000000005
g8,16,1948.0000000000005
g8,17,1948.0000000000005
g8,18,1948.0000000000005
g8,19,1948.0000000000005
g8,20,1948.0000000000005
g8,21,1948.0000000000005
g8,22,1948.0000000000005
g8,23,1800.0
g8,24,1800.0
g9,1,885.1580000000002
g9,2,885.1580000000002
g9,3,885.1580000000002
g9,4,885.1580000000002
g9,5,885.1580000000002
g9,6,885.1580000000002
g9,7,885.1580000000002
g9,8,2020.0
g9,9,2020.0
g9,10,2020.0
g9,11,2168.0000000000005
g9,12,2168.0000000000005
g9,13,2168.0000000000005
g9,14,2168.0000000000005
g9,15,2168.0000000000005
g9,16,2168.0000000000005
g9,17,2168.0000000000005
g9,18,2168.0000000000005
g9,19,2168.0000000000005
g9,20,2168.0000000000005
g9,21,2168.0000000000005
g9,22,2168.0000000000005
g9,23,2020.0
g9,24,2020.0
g10,1,2304.8685
