bess,hour,profit
bess1,1,-3010.086041786996
bess1,2,-3828.145335596999
bess1,3,-4361.929831512002
bess1,4,-4479.432027641998
bess1,5,-4392.1159259669985
bess1,6,-4052.9837211930017
bess1,7,-1022.3874229140002
bess1,8,0.0
bess1,9,0.0
bess1,10,0.0
bess1,11,0.0
bess1,12,760.6708560000053
bess1,13,1910.7201960000002
bess1,14,0.0
bess1,15,0.0
bess1,16,2983.690116
bess1,17,3633.7023546119954
bess1,18,2293.649622000004
bess1,19,2475.2229480000005
bess1,20,5642.964953999996
bess1,21,3979.870289999992
bess1,22,1466.5889700000023
bess1,23,0.0
bess1,24,0.0
