load,hour,profit
b1,1,6104.789437554001
b1,2,5740.324396506
b1,3,5466.975615720001
b1,4,5375.859355458001
b1,5,5375.859355458001
b1,6,5466.975615720001
b1,7,6742.603259388001
b1,8,7590.933792000001
b1,9,8052.314892631581
b1,10,8473.600512
b1,11,8437.924224
b1,12,8350.029180000001
b1,13,8350.029180000001
b1,14,8350.029180000001
b1,15,8174.239092000001
b1,16,8174.239092000001
b1,17,8701.609356
b1,18,8789.5044
b1,19,8789.5044
b1,20,8437.924224
b1,21,7998.449004000001
b1,22,7295.288652
b1,23,6443.467056000001
b1,24,5560.800336
b2,1,5105.2509531735
b2,2,4800.4598514915
b2,3,4571.86652523
b2,4,4495.6687498095
b2,5,4495.6687498095
b2,6,4571.86652523
b2,7,5638.635381117
b2,8,6332.904378
b2,9,6717.82176394737
b2,10,7069.288608000002
b2,11,7037.246016000001
b2,12,6963.94137
b2,13,6963.94137
b2,14,6963.94137
b2,15,6817.332078000001
b2,16,6817.332078000001
b2,17,7257.159954
b2,18,7330.4646
b2,19,7330.4646
b2,20,7037.246016000001
b2,21,6670.722785999999
b2,22,6084.285618
b2,23,5375.604879000001
b2,24,4639.220649
b3,1,8817.53726259
b3,2,8291.11712751
b3,3,7896.302026199999
b3,4,7764.69699243
b3,5,7764.69699243
b3,6,7896.302026199999
b3,7,9738.772498979999
b3,8,10909.59192
b3,9,11572.68287368421
b3,10,12178.14912
b3,11,12118.68864
b3,12,11992.452299999999
b3,13,11992.452299999999
b3,14,11992.452299999999
b3,15,11739.97962
b3,16,11739.97962
b3,17,12497.397659999999
b3,18,12623.634
b3,19,12623.634
b3,20,12118.68864
b3,21,11487.50694
b3,22,10477.61622
b3,23,9260.46756
b3,24,7991.910360000001
b4,1,3357.5530212870003
b4,2,3157.102094643
b4,3,3006.76389966
b4,4,2956.651167999
b4,5,2956.651167999
b4,6,3006.76389966
b4,7,3708.342142914
b4,8,4141.780296
b4,9,4393.51996385965
b4,10,4623.382656000001
b4,11,4598.937792
b4,12,4551.032189999999
b4,13,4551.032189999999
b4,14,4551.032189999999
b4,15,4455.220986
b4,16,4455.220986
b4,17,4742.654598
b4,18,4790.5602
b4,19,4790.5602
b4,20,4598.937792
