wind,hour,Pwind
w1,1,170.7418
w1,2,167.6602
w1,3,162.056
w1,4,154.2246
w1,5,149.0736
w1,6,144.3468
w1,7,138.1248
w1,8,133.14159999999998
w1,9,132.887
w1,10,131.1324
w1,11,134.674
w1,12,130.71980000000002
w1,13,103.402
w1,14,81.03399999999999
w1,15,53.302400000000006
w1,16,34.8096
w1,17,30.381000000000004
w1,18,38.815
w1,19,48.0372
w1,20,55.1116
w1,21,64.2296
w1,22,80.58999999999999
w1,23,99.4966
w1,24,119.7036
w2,1,184.2776
w2,2,182.5956
w2,3,180.2328
w2,4,176.5164
w2,5,171.68460000000002
w2,6,163.978
w2,7,158.01639999999998
w2,8,155.7284
w2,9,153.1096
w2,10,147.3674
w2,11,142.14180000000002
w2,12,141.147
w2,13,140.295
w2,14,143.10739999999998
w2,15,144.85760000000002
w2,16,134.5208
w2,17,117.945
w2,18,108.6094
w2,19,110.0472
w2,20,113.2934
w2,21,121.2994
w2,22,134.4686
w2,23,151.8408
w2,24,162.72480000000002
w3,1,186.222
w3,2,186.6
w3,3,185.7478
w3,4,184.8418
w3,5,183.215
w3,6,180.6118
w3,7,176.9856
w3,8,171.965
w3,9,167.3308
w3,10,161.394
w3,11,154.0412
w3,12,149.4134
w3,13,145.4288
w3,14,142.7194
w3,15,141.52800000000002
w3,16,141.76
w3,17,129.4564
w3,18,97.9978
w3,19,57.2938
w3,20,30.485
w3,21,39.435
w3,22,20.3252
w3,23,33.1758
w3,24,58.3484
w4,1,178.4568
w4,2,180.0792
w4,3,179.5802
w4,4,179.9874
w4,5,180.2192
w4,6,179.7864
w4,7,177.82899999999998
w4,8,173.35739999999998
w4,9,167.69559999999998
w4,10,155.6998
w4,11,143.208
w4,12,124.0094
w4,13,94.141
w4,14,73.85119999999999
w4,15,52.7396
w4,16,34.1802
w4,17,38.4704
w4,18,30.0012
w4,19,48.7772
w4,20,31.568800000000003
w4,21,33.197
w4,22,33.647
w4,23,35.6838
w4,24,24.5812
w5,1,168.2442
w5,2,170.8332
w5,3,171.0916
w5,4,172.7354
w5,5,174.061
w5,6,174.49460000000002
w5,7,172.3028
w5,8,163.45860000000002
w5,9,143.7684
w5,10,116.4876
w5,11,88.6904
w5,12,60.3032
w5,13,32.936
w5,14,39.6926
w5,15,33.693
w5,16,46.7776
w5,17,41.793400000000005
w5,18,40.9424
w5,19,44.588
w5,20,34.2826
w5,21,24.8978
w5,22,28.3578
w5,23,26.63
w5,24,26.2464
w6,1,179.6832
w6,2,180.3154
w6,3,179.3372
w6,4,178.529
w6,5,177.2162
w6,6,174.6158
w6,7,171.1846
w6,8,166.279
w6,9,159.0846
w6,10,147.3892
w6,11,135.31640000000002
w6,12,122.5318
w6,13,106.3158
w6,14,97.0262
w6,15,88.837
w6,16,78.9324
w6,17,66.03280000000001
w6,18,53.5144
w6,19,44.4634
w6,20,41.56
w6,21,43.4352
w6,22,47.8534
w6,23,55.7496
w6,24,67.5392
