load,hour,profit
b1,1,6216.693624000001
b1,2,5880.350196
b1,3,5600.333520000001
b1,4,5506.994628000001
b1,5,5506.994628000001
b1,6,5600.333520000001
b1,7,6866.198928000002
b1,8,7590.933792000001
b1,9,8052.314892631581
b1,10,8473.600512
b1,11,8437.924224
b1,12,8350.029180000001
b1,13,8350.029180000001
b1,14,8350.029180000001
b1,15,8174.239092000001
b1,16,8174.239092000001
b1,17,8459.980848000001
b1,18,8545.435200000002
b1,19,8545.435200000002
b1,20,8203.617792000001
b1,21,7776.346032000001
b1,22,7295.288652
b1,23,6443.467056000001
b1,24,5560.800336
b2,1,5205.757491
b2,2,4926.223764
b2,3,4691.64168
b2,4,4613.447652000001
b2,5,4613.447652000001
b2,6,4691.64168
b2,7,5749.642602
b2,8,6332.904378
b2,9,6717.82176394737
b2,10,7069.288608000002
b2,11,7037.246016000001
b2,12,6963.94137
b2,13,6963.94137
b2,14,6963.94137
b2,15,6817.332078000001
b2,16,6817.332078000001
b2,17,7040.141757
b2,18,7111.2543000000005
b2,19,7111.2543000000005
b2,20,6826.804128000002
b2,21,6471.241413
b2,22,6084.285618
b2,23,5375.604879000001
b2,24,4639.220649
b3,1,9004.044240000001
b3,2,8524.49346
b3,3,8118.5652
b3,4,7983.25578
b3,5,7983.25578
b3,6,8118.5652
b3,7,9944.76528
b3,8,10909.59192
b3,9,11572.68287368421
b3,10,12178.14912
b3,11,12118.68864
b3,12,11992.452299999999
b3,13,11992.452299999999
b3,14,11992.452299999999
b3,15,11739.97962
b3,16,11739.97962
b3,17,12094.683479999998
b3,18,12216.851999999999
b3,19,12216.851999999999
b3,20,11728.177919999998
b3,21,11117.335319999998
b3,22,10477.61622
b3,23,9260.46756
b3,24,7991.910360000001
b4,1,3434.2281120000007
b4,2,3253.045698
b4,3,3098.1387600000003
b4,4,3046.503114
b4,5,3046.503114
b4,6,3098.1387600000003
b4,7,3793.028064
b4,8,4141.780296
b4,9,4393.51996385965
b4,10,4623.382656000001
b4,11,4598.937792
b4,12,4551.032189999999
b4,13,4551.032189999999
b4,14,4551.032189999999
b4,15,4455.220986
b4,16,4455.220986
b4,17,4577.094324000001
b4,18,4623.3276
b4,19,4623.3276
b4,20,4438.394496000001
b4,21,4207.228116
b4,22,3976.1649660000003
b4,23,3515.6972280000005
b4,24,3034.094868
b5,1,3042.8340779999994
b5,2,2884.0517369999993
b5,3,2746.71594
b5,4,2700.9373410000003
b5,5,2700.9373410000003
b5,6,2746.71594
b5,7,3360.7421160000004
b5,8,3650.1912239999992
b5,9,3872.0518396491225
b5,10,4074.6320639999994
b5,11,4051.178207999999
b5,12,4008.9784349999995
b5,13,4008.9784349999995
b5,14,4008.9784349999995
b5,15,3924.5788889999994
b5,16,3924.5788889999994
b5,17,4018.9291559999992
b5,18,4059.524399999999
b5,19,4059.524399999999
b5,20,3897.143423999999
b5,21,3694.167204
b5,22,3502.581159
b5,23,3098.4181320000002
b5,24,2673.9772919999996
b6,1,5353.974288000001
b6,2,5078.159352000001
b6,3,4836.34224
b6,4,4755.736536
b6,5,4755.736536
b6,6,4836.34224
b6,7,5913.344736000001
b6,8,6382.787904000001
b6,9,6770.7372378947375
b6,10,7124.972544000001
b6,11,7080.046848
b6,12,7006.29636
b6,13,7006.29636
b6,14,7006.29636
b6,15,6858.795384000001
b6,16,6858.795384000001
b6,17,6997.025376
b6,18,7067.7024
b6,19,7067.7024
b6,20,6784.994304000001
b6,21,6431.609184000001
b6,22,6121.290504
b6,23,5417.947872000001
b6,24,4675.763232
b7,1,4496.445374999999
b7,2,4268.2815
b7,3,4065.0299999999993
b7,4,3997.2794999999996
b7,5,3997.2794999999996
b7,6,4065.0299999999993
b7,7,4966.223249999999
b7,8,5321.669249999999
b7,9,5645.123212719297
b7,10,5940.467999999999
b7,11,5899.175999999999
b7,12,5837.72625
b7,13,5837.72625
b7,14,5837.72625
b7,15,5714.82675
b7,16,5714.82675
b7,17,5803.862624999999
b7,18,5862.4875
b7,19,5862.4875
b7,20,5627.987999999999
b7,21,5334.863624999999
b7,22,5100.329249999999
b7,23,4517.230874999999
b7,24,3898.4321250000003
b8,1,5581.094238
b8,2,5302.998477
b8,3,5050.474740000001
b8,4,4966.300160999999
b8,5,4966.300160999999
b8,6,5050.474740000001
b8,7,6164.193635999999
b8,8,6548.346503999998
b8,9,6946.358579999999
b8,10,7309.782144
b8,11,7253.294688
b8,12,7177.739535
b8,13,7177.739535
b8,14,7177.739535
b8,15,7026.629229000001
b8,16,7026.629229000001
b8,17,7097.381675999999
b8,18,7169.0724
b8,19,7169.0724
b8,20,6882.309504
b8,21,6523.855884
b8,22,6271.0776989999995
b8,23,5558.480172
b8,24,4797.044532
b9,1,5133.7209
b9,2,4883.622975
b9,3,4651.0695
b9,4,4573.551675
b9,5,4573.551675
b9,6,4651.0695
b9,7,5670.0797999999995
b9,8,5959.709699999998
b9,9,6321.944109649122
b9,10,6652.699199999999
b9,11,6594.890399999999
b9,12,6526.193624999999
b9,13,6526.193624999999
b9,14,6526.193624999999
b9,15,6388.800074999999
b9,16,6388.800074999999
b9,17,6409.453049999999
b9,18,6474.194999999999
b9,19,6474.194999999999
