load,hour,Pload
b1,1,67.29480000000001
b1,2,63.2772
b1,3,60.264
b1,4,59.259600000000006
b1,5,59.259600000000006
b1,6,60.264
b1,7,74.32560000000001
b1,8,86.3784
b1,9,91.62852631578949
b1,10,96.4224
b1,11,96.4224
b1,12,95.418
b1,13,95.418
b1,14,95.418
b1,15,93.4092
b1,16,93.4092
b1,17,99.4356
b1,18,100.44
b1,19,100.44
b1,20,96.4224
b1,21,91.4004
b1,22,83.3652
b1,23,73.3212
b1,24,63.2772
b2,1,60.4407
b2,2,56.8323
b2,3,54.126
b2,4,53.2239
b2,5,53.2239
b2,6,54.126
b2,7,66.7554
b2,8,77.58059999999999
b2,9,82.29599122807018
b2,10,86.6016
b2,11,86.6016
b2,12,85.69949999999999
b2,13,85.69949999999999
b2,14,85.69949999999999
b2,15,83.8953
b2,16,83.8953
b2,17,89.30789999999999
b2,18,90.21
b2,19,90.21
b2,20,86.6016
b2,21,82.09109999999998
b2,22,74.87429999999999
b2,23,65.8533
b2,24,56.8323
b3,1,112.15800000000002
b3,2,105.462
b3,3,100.44
b3,4,98.766
b3,5,98.766
b3,6,100.44
b3,7,123.876
b3,8,143.964
b3,9,152.71421052631578
b3,10,160.704
b3,11,160.704
b3,12,159.03
b3,13,159.03
b3,14,159.03
b3,15,155.68200000000002
b3,16,155.68200000000002
b3,17,165.726
b3,18,167.4
b3,19,167.4
b3,20,160.704
b3,21,152.334
b3,22,138.942
b3,23,122.202
b3,24,105.462
b4,1,46.10940000000001
b4,2,43.3566
b4,3,41.292
b4,4,40.6038
b4,5,40.6038
b4,6,41.292
b4,7,50.9268
b4,8,59.1852
b4,9,62.78250877192983
b4,10,66.0672
b4,11,66.0672
b4,12,65.37899999999999
b4,13,65.37899999999999
b4,14,65.37899999999999
b4,15,64.0026
b4,16,64.0026
b4,17,68.1318
b4,18,68.82
b4,19,68.82
b4,20,66.0672
b4,21,62.6262
b4,22,57.1206
b4,23,50.238600000000005
b4,24,43.3566
b5,1,44.24009999999999
b5,2,41.59889999999999
b5,3,39.618
b5,4,38.9577
b5,5,38.9577
b5,6,39.618
b5,7,48.8622
b5,8,56.78579999999999
b5,9,60.23727192982456
b5,10,63.38879999999999
b5,11,63.38879999999999
b5,12,62.7285
b5,13,62.7285
b5,14,62.7285
b5,15,61.4079
b5,16,61.4079
b5,17,65.3697
b5,18,66.02999999999999
b5,19,66.02999999999999
b5,20,63.38879999999999
b5,21,60.0873
b5,22,54.8049
b5,23,48.2019
