wind,hour,profit
w1,1,1027.865636
w1,2,917.1012939999999
w1,3,886.44632
w1,4,843.608562
w1,5,815.432592
w1,6,789.576996
w1,7,831.5112959999999
w1,8,1400.6496319999997
w1,9,1397.9712399999999
w1,10,1379.5128479999998
w1,11,1466.59986
w1,12,1423.5386220000003
w1,13,1126.04778
w1,14,882.46026
w1,15,580.4631360000001
w1,16,379.07654400000007
w1,17,404.67492000000004
w1,18,517.0158
w1,19,639.855504
w1,20,734.0865120000001
w1,21,855.5382720000001
w1,22,877.6251
w1,23,1046.704232
w1,24,1259.2818719999998
w2,1,1109.351152
w2,2,998.797932
w2,3,985.8734159999999
w2,4,965.544708
w2,5,939.114762
w2,6,896.95966
w2,7,951.2587279999998
w2,8,1638.2627679999998
w2,9,1610.712992
w2,10,1550.305048
w2,11,1547.9242020000004
w2,12,1537.09083
w2,13,1527.8125499999999
w2,14,1558.439586
w2,15,1577.4992640000003
w2,16,1464.931512
w2,17,1571.0274
w2,18,1446.6772079999998
w2,19,1465.828704
w2,20,1509.0680880000002
w2,21,1615.708008
w2,22,1464.3630540000001
w2,23,1597.365216
w2,24,1711.864896
w3,1,1121.05644
w3,2,1020.7019999999999
w3,3,1016.040466
w3,4,1011.084646
w3,5,1002.18605
w3,6,987.9465459999999
w3,7,1065.4533119999999
w3,8,1809.0718
w3,9,1760.3200160000001
w3,10,1697.86488
w3,11,1677.5086680000002
w3,12,1627.111926
w3,13,1583.719632
w3,14,1554.2142660000002
w3,15,1541.2399200000002
w3,16,1543.7664
w3,17,1724.359248
w3,18,1305.330696
w3,19,763.153416
w3,20,406.0602
w3,21,525.2742000000001
w3,22,221.341428
w3,23,349.009416
w3,24,613.825168
w4,1,1074.3099359999999
w4,2,985.0332239999999
w4,3,982.303694
w4,4,984.531078
w4,5,985.7990239999999
w4,6,983.4316079999999
w4,7,1070.5305799999999
w4,8,1823.7198479999997
w4,9,1764.1577119999997
w4,10,1637.961896
w4,11,1559.53512
w4,12,1350.462366
w4,13,1025.19549
w4,14,804.239568
w4,15,574.334244
w4,16,372.222378
w4,17,512.4257279999999
w4,18,399.615984
w4,19,649.712304
w4,20,420.49641600000007
w4,21,442.18404000000004
w4,22,366.41583
w4,23,375.39357599999994
w4,24,258.594224
w5,1,1012.8300839999999
w5,2,934.457604
w5,3,935.871052
w5,4,944.862638
w5,5,952.11367
w5,6,954.4854620000001
w5,7,1037.2628559999998
w5,8,1719.5844720000002
w5,9,1512.4435680000001
w5,10,1225.449552
w5,11,965.8384560000001
w5,12,656.701848
w5,13,358.67304
w5,14,432.252414
w5,15,366.91677
w5,16,509.408064
w5,17,556.6880880000001
w5,18,545.352768
w5,19,593.91216
w5,20,456.64423200000004
w5,21,331.638696
w5,22,308.81644200000005
w5,23,280.14759999999995
w5,24,276.112128
w6,1,1081.6928639999999
w6,2,986.325238
w6,3,980.974484
w6,4,976.5536299999999
w6,5,969.3726139999999
w6,6,955.148426
w6,7,1030.531292
w6,8,1749.25508
w6,9,1673.569992
w6,10,1550.5343839999998
w6,11,1473.5955960000003
w6,12,1334.371302
w6,13,1157.779062
w6,14,1056.6153180000001
w6,15,967.4349300000001
w6,16,859.573836
w6,17,879.5568960000002
w6,18,712.811808
w6,19,592.252488
w6,20,553.5792
w6,21,578.556864
w6,22,521.1235260000001
w6,23,586.485792
w6,24,710.5123839999999
