line,Pline
l1,75.05648699082072
l2,-65.12866432142607
l3,-77.22262266939465
l4,2.5612082282025033
l5,12.054578762618211
l6,88.77075791312365
l7,-95.31562223454974
l8,-43.5481917717975
l9,62.814877330605334
l10,-72.6870212373818
l11,108.3345
l12,-5.609591526169372
l13,7.393991526169369
l14,-36.55000047500388
l15,-32.87952490983933
l16,-63.82656397288584
l17,-60.1560884077213
l18,21.357274799111366
l19,-121.7338392470011
l20,15.039243088582236
l21,-108.07485640614286
l22,-128.72498211230635
l23,-242.6152392470011
l24,96.74797741706129
l25,-320.0
l26,95.31562223454974
l27,-279.3750003483895
l28,249.65453851844921
l29,-146.01560970943805
l30,-133.35939063895145
l31,-14.884809361048523
l32,136.87343851844923
l33,57.116638518449214
l34,-166.64060936104855
