line,Pline
l1,75.14241997306999
l2,-65.30589445839477
l3,-77.13132551467523
l4,2.589162150511835
l5,12.112557822558175
l6,89.14902706057737
l7,-95.87112151897216
l8,-43.52023784948817
l9,62.90617448532476
l10,-72.62904217744183
l11,108.3345
l12,-5.634320600216926
l13,7.418720600216923
l14,-36.34324319170071
l15,-32.70478819742703
l16,-63.72355104308694
l17,-60.085096048813256
l18,21.39187260217437
l19,-121.45866683696198
l20,15.128958267768851
l21,-107.91884251400911
l22,-128.60066913005676
l23,-242.34006683696202
l24,106.60617848102785
l25,-400.0
l26,95.87112151897216
l27,-268.96130000000005
l28,249.37421164406587
l29,-121.50791990813855
l30,-147.4533800918615
l31,-225.93794130206817
l32,136.59311164406586
l33,56.83631164406586
l34,-152.5466199081385
