bus,Phi
b1,-0.05391485727193711
b2,-0.06488565058800533
b3,0.09321932294282632
b4,-0.06839655446409937
b5,0.016043254969873327
b6,-0.08971639412424959
b7,0.04061733065125026
b8,-0.03001676334874973
b9,-0.020089090451167503
b10,-0.04308854904633194
b11,0.010439233829861094
b12,0.007382931634671201
b13,0.0
b14,0.0621806259024069
b15,0.2244668883022991
b16,0.20613062560356232
b17,0.27686744750356235
b18,0.29424308005042615
b19,0.14777706007885089
b20,0.12004865841510558
b21,0.3240668883022991
b22,0.4296291492787309
b23,0.11368299151097018
b24,0.17375106501876295
